Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,200.490005,201.029999,198.589996,201.020004,181.917801,222353500
2016-01-05,201.399994,201.899994,200.050003,201.360001,182.225494,110845800
2016-01-06,198.339996,200.059998,197.600006,198.820007,179.926880,152112600
2016-01-07,195.330002,197.440002,193.589996,194.050003,175.610184,213436100
2016-01-08,195.190002,195.850006,191.580002,191.919998,173.682556,209817200
2016-01-11,193.009995,193.410004,189.820007,192.110001,173.854523,187941300
2016-01-12,193.820007,194.550003,191.139999,193.660004,175.257233,172330500
2016-01-13,194.449997,194.860001,188.380005,188.830002,170.886200,221168900
2016-01-14,189.550003,193.259995,187.660004,191.929993,173.691574,240795600
2016-01-15,186.770004,188.759995,185.520004,187.809998,169.963120,324846400
2016-01-19,189.960007,190.110001,186.199997,188.059998,170.189346,195244400
2016-01-20,185.029999,187.500000,181.020004,185.649994,168.008362,286547800
2016-01-21,186.210007,188.869995,184.639999,186.690002,168.949554,195772900
2016-01-22,189.779999,190.759995,188.880005,190.520004,172.415588,168319600
2016-01-25,189.919998,190.149994,187.410004,187.639999,169.809280,130371700
2016-01-26,188.419998,190.529999,188.020004,190.199997,172.125977,141036800
2016-01-27,189.580002,191.559998,187.059998,188.130005,170.252701,185681700
2016-01-28,189.960007,190.199997,187.160004,189.110001,171.139572,143798800
2016-01-29,190.020004,193.880005,189.880005,193.720001,175.311539,210529300
2016-02-01,192.529999,194.580002,191.839996,193.649994,175.248169,136061600
2016-02-02,191.960007,191.970001,189.539993,190.160004,172.089813,182564900
2016-02-03,191.410004,191.779999,187.100006,191.300003,173.121460,205054900
2016-02-04,190.710007,192.750000,189.960007,191.600006,173.392975,139531800
2016-02-05,190.990005,191.669998,187.199997,187.949997,170.089828,180788300
2016-02-08,185.770004,186.119995,182.800003,185.419998,167.800217,191526700
2016-02-09,183.360001,186.940002,183.199997,185.429993,167.809250,184513100
2016-02-10,186.410004,188.339996,185.119995,185.270004,167.664505,148214100
2016-02-11,182.339996,184.100006,181.089996,182.860001,165.483490,219058900
2016-02-12,184.960007,186.649994,183.960007,186.630005,168.895248,127632400
2016-02-16,188.770004,189.809998,187.630005,189.779999,171.745911,120250700
2016-02-17,191.160004,193.320007,191.009995,192.880005,174.551346,136009500
2016-02-18,193.199997,193.270004,191.720001,192.089996,173.836395,102343000
2016-02-19,191.169998,192.179993,190.449997,192.000000,173.754990,114793000
2016-02-22,193.869995,194.949997,193.789993,194.779999,176.270767,103640300
2016-02-23,194.000000,194.320007,192.179993,192.320007,174.044525,111455300
2016-02-24,190.630005,193.529999,189.320007,193.199997,174.840927,150812200
2016-02-25,193.729996,195.550003,192.830002,195.539993,176.958557,110728300
2016-02-26,196.570007,196.679993,194.899994,195.089996,176.551331,129833700
2016-02-29,195.110001,196.229996,193.330002,193.559998,175.166702,125918100
2016-03-01,195.009995,198.210007,194.449997,198.110001,179.284378,141799700
2016-03-02,197.740005,199.059998,197.250000,199.000000,180.089752,102415000
2016-03-03,198.789993,199.800003,198.110001,199.779999,180.795654,95172200
2016-03-04,200.009995,201.350006,199.029999,200.429993,181.383881,129293600
2016-03-07,199.339996,201.070007,199.250000,200.589996,181.528702,100219000
2016-03-08,199.320007,199.919998,198.210007,198.399994,179.546783,123974900
2016-03-09,199.360001,199.789993,198.429993,199.380005,180.433685,94801200
2016-03-10,199.960007,201.070007,197.380005,199.539993,180.578476,156838700
2016-03-11,201.259995,202.809998,199.520004,202.759995,183.492477,137964500
2016-03-14,202.160004,203.039993,201.770004,202.500000,183.257187,73612000
2016-03-15,201.360001,202.529999,201.050003,202.169998,182.958542,93169100
2016-03-16,201.600006,203.820007,201.550003,203.339996,184.017349,129303200
2016-03-17,203.240005,205.229996,202.770004,204.630005,185.184769,134278500
2016-03-18,204.169998,204.779999,203.800003,204.380005,185.912491,138372400
2016-03-21,204.070007,204.940002,203.800003,204.669998,186.176315,72926700
2016-03-22,203.759995,205.229996,203.570007,204.559998,186.076202,97471900
